Cifras de población resultantes de la Revisión del Padrón municipal a 1 de enero de 2018,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
CPRO,PROVINCIA,CMUN,NOMBRE,POB18,HOMBRES,MUJERES
2,Albacete,1,Abengibre,757,363,394
2,Albacete,2,Alatoz,529,300,229
2,Albacete,3,Albacete,173050,84613,88437
2,Albacete,4,Albatana,693,357,336
2,Albacete,5,Alborea,650,339,311
2,Albacete,6,Alcadozo,655,356,299
2,Albacete,7,AlcalĀ del JŻcar,1199,639,560
2,Albacete,8,Alcaraz,1405,724,681
2,Albacete,9,Almansa,24537,12215,12322
2,Albacete,10,Alpera,2275,1183,1092
2,Albacete,11,Ayna,638,341,297
2,Albacete,12,Balazote,2360,1205,1155
2,Albacete,14,"Ballestero, El",409,208,201
2,Albacete,13,Balsa de Ves,150,85,65
2,Albacete,15,Barrax,1864,941,923
2,Albacete,16,Bienservida,610,326,284
2,Albacete,17,Bogarra,873,462,411
2,Albacete,18,Bonete,1057,538,519
2,Albacete,19,"Bonillo, El",2837,1447,1390
2,Albacete,20,Carcelén,508,279,229
2,Albacete,21,Casas de Juan NŻżez,1275,669,606
2,Albacete,22,Casas de LĀzaro,344,194,150
2,Albacete,23,Casas de Ves,588,311,277
2,Albacete,24,Casas-IbĀżez,4522,2291,2231
2,Albacete,25,Caudete,10003,5089,4914
2,Albacete,26,Cenizate,1182,601,581
2,Albacete,29,Chinchilla de Monte-Aragón,4182,2183,1999
2,Albacete,27,Corral-Rubio,330,177,153
2,Albacete,28,Cotillas,128,64,64
2,Albacete,30,Elche de la Sierra,3624,1819,1805
2,Albacete,31,Férez,674,327,347
2,Albacete,32,Fuensanta,297,168,129
2,Albacete,33,Fuente-Ąlamo,2489,1303,1186
2,Albacete,34,Fuentealbilla,1816,912,904
2,Albacete,35,"Gineta, La",2448,1259,1189
2,Albacete,36,Golosalvo,110,58,52
2,Albacete,37,HellĪn,30268,15124,15144
2,Albacete,38,"Herrera, La",349,181,168
2,Albacete,39,Higueruela,1184,610,574
2,Albacete,40,Hoya-Gonzalo,621,332,289
2,Albacete,41,Jorquera,360,195,165
2,Albacete,42,Letur,928,448,480
2,Albacete,43,Lezuza,1398,721,677
2,Albacete,44,Liétor,1200,626,574
2,Albacete,45,Madrigueras,4665,2387,2278
2,Albacete,46,Mahora,1359,698,661
2,Albacete,47,Masegoso,113,62,51
2,Albacete,48,Minaya,1537,799,738
2,Albacete,49,Molinicos,840,435,405
2,Albacete,50,Montalvos,96,53,43
2,Albacete,51,Montealegre del Castillo,2042,1036,1006
