CPRO,CPRO_NAME,ECONOMIC_SECTOR,YEAR,TOTAL
01,Araba/Álava,Agricultura,2008,14.0
01,Araba/Álava,Agricultura,2009,14.0
01,Araba/Álava,Agricultura,2010,14.0
01,Araba/Álava,Agricultura,2011,13.75
01,Araba/Álava,Agricultura,2012,18.0
01,Araba/Álava,Agricultura,2013,14.25
01,Araba/Álava,Agricultura,2014,14.0
01,Araba/Álava,Agricultura,2015,18.0
01,Araba/Álava,Agricultura,2016,18.0
01,Araba/Álava,Agricultura,2017,14.25
01,Araba/Álava,Agricultura,2018,14.0
01,Araba/Álava,Agricultura,2019,18.0
01,Araba/Álava,Agricultura,2020,18.0
01,Araba/Álava,Agricultura,2021,18.0
01,Araba/Álava,Agricultura,2022,18.0
01,Araba/Álava,Agricultura,2023,18.0
01,Araba/Álava,Agricultura,2024,18.0
01,Araba/Álava,Agricultura,2025,6.666666666666667
01,Araba/Álava,Construcción,2008,18.0
01,Araba/Álava,Construcción,2009,15.75
01,Araba/Álava,Construcción,2010,15.5
01,Araba/Álava,Construcción,2011,18.0
01,Araba/Álava,Construcción,2012,11.75
01,Araba/Álava,Construcción,2013,18.0
01,Araba/Álava,Construcción,2014,18.0
01,Araba/Álava,Construcción,2015,14.5
01,Araba/Álava,Construcción,2016,18.0
01,Araba/Álava,Construcción,2017,18.0
01,Araba/Álava,Construcción,2018,18.0
01,Araba/Álava,Construcción,2019,18.0
01,Araba/Álava,Construcción,2020,18.0
01,Araba/Álava,Construcción,2021,18.0
01,Araba/Álava,Construcción,2022,18.0
01,Araba/Álava,Construcción,2023,18.0
01,Araba/Álava,Construcción,2024,14.75
01,Araba/Álava,Construcción,2025,18.0
01,Araba/Álava,Industria,2008,18.0
01,Araba/Álava,Industria,2009,18.0
01,Araba/Álava,Industria,2010,18.0
01,Araba/Álava,Industria,2011,20.0
01,Araba/Álava,Industria,2012,18.0
01,Araba/Álava,Industria,2013,18.0
01,Araba/Álava,Industria,2014,18.0
01,Araba/Álava,Industria,2015,25.0
01,Araba/Álava,Industria,2016,18.0
01,Araba/Álava,Industria,2017,18.0
01,Araba/Álava,Industria,2018,20.25
01,Araba/Álava,Industria,2019,18.0
01,Araba/Álava,Industria,2020,18.0
01,Araba/Álava,Industria,2021,18.0
01,Araba/Álava,Industria,2022,19.75
01,Araba/Álava,Industria,2023,20.5
01,Araba/Álava,Industria,2024,22.0
01,Araba/Álava,Industria,2025,18.0
01,Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2008,18.0
01,Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2009,18.0
01,Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2010,18.0
01,Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2011,14.75
01,Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2012,15.75
01,Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2013,16.0
01,Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2014,16.25
01,Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2015,18.0
01,Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2016,15.5
01,Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2017,18.0
01,Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2018,18.0
01,Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2019,14.5
01,Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020,14.5
01,Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021,18.0
01,Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022,18.0
01,Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023,18.0
01,Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024,14.5
01,Araba/Álava,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025,18.0
01,Araba/Álava,Servicios,2008,18.0
01,Araba/Álava,Servicios,2009,18.0
01,Araba/Álava,Servicios,2010,28.25
01,Araba/Álava,Servicios,2011,18.0
01,Araba/Álava,Servicios,2012,18.0
01,Araba/Álava,Servicios,2013,18.0
01,Araba/Álava,Servicios,2014,18.0
01,Araba/Álava,Servicios,2015,18.0
01,Araba/Álava,Servicios,2016,18.0
01,Araba/Álava,Servicios,2017,29.0
01,Araba/Álava,Servicios,2018,38.5
01,Araba/Álava,Servicios,2019,18.0
01,Araba/Álava,Servicios,2020,18.0
01,Araba/Álava,Servicios,2021,29.75
01,Araba/Álava,Servicios,2022,18.0
01,Araba/Álava,Servicios,2023,29.0
01,Araba/Álava,Servicios,2024,18.0
01,Araba/Álava,Servicios,2025,18.0
02,Albacete,Agricultura,2008,15.25
02,Albacete,Agricultura,2009,18.0
02,Albacete,Agricultura,2010,18.0
