municipality_number,municipality_name,year,number_of_households,average_household_size,number_of_dwellings,average_rent_price
44001,Ababuj,1998,31.0,2.78,32.0,579.0
50001,Abanto,1998,66.0,2.88,68.0,307.0
44002,Abejuela,1998,21.0,2.85,22.0,261.0
22001,Abiego,1998,107.0,2.71,110.0,463.0
22002,Abizanda,1998,53.0,2.62,55.0,720.0
50002,Acered,1998,116.0,2.44,119.0,725.0
22003,Adahuesca,1998,59.0,2.68,61.0,512.0
50003,Agón,1998,80.0,2.48,82.0,619.0
50004,Aguarón,1998,236.0,3.04,243.0,334.0
44003,Aguatón,1998,10.0,2.67,10.0,318.0
44004,Aguaviva,1998,262.0,2.37,270.0,296.0
22004,Agüero,1998,55.0,2.88,57.0,197.0
44005,Aguilar del Alfambra,1998,29.0,2.88,30.0,564.0
50005,Aguilón,1998,84.0,3.18,87.0,468.0
22907,Aínsa-Sobrarbe,1998,541.0,2.88,557.0,239.0
50006,Ainzón,1998,466.0,2.65,480.0,219.0
22006,Aisa,1998,117.0,3.1,121.0,653.0
44006,Alacón,1998,165.0,2.84,170.0,746.0
50007,Aladrén,1998,25.0,2.37,26.0,571.0
50008,Alagón,1998,1934.0,2.87,1992.0,405.0
50009,Alarba,1998,49.0,3.25,50.0,725.0
44007,Alba,1998,106.0,2.7,109.0,745.0
22007,Albalate de Cinca,1998,418.0,2.61,431.0,312.0
44008,Albalate del Arzobispo,1998,971.0,2.45,1000.0,745.0
22008,Albalatillo,1998,110.0,2.46,113.0,332.0
44009,Albarracín,1998,380.0,2.74,391.0,322.0
22009,Albelda,1998,332.0,2.9,342.0,769.0
44010,Albentosa,1998,113.0,2.4,116.0,341.0
50010,Alberite de San Juan,1998,32.0,3.26,33.0,260.0
22011,Albero Alto,1998,32.0,3.09,33.0,553.0
22012,Albero Bajo,1998,41.0,2.89,42.0,334.0
22013,Alberuela de Tubo,1998,123.0,3.15,127.0,713.0
50011,Albeta,1998,51.0,2.37,53.0,218.0
50012,Alborge,1998,49.0,2.77,50.0,667.0
44011,Alcaine,1998,19.0,2.98,20.0,481.0
50013,Alcalá de Ebro,1998,95.0,3.14,98.0,680.0
22014,Alcalá de Gurrea,1998,111.0,3.08,114.0,306.0
44012,Alcalá de la Selva,1998,175.0,2.59,180.0,603.0
50014,Alcalá de Moncayo,1998,47.0,3.23,48.0,274.0
22015,Alcalá del Obispo,1998,145.0,2.44,149.0,433.0
22016,Alcampell,1998,299.0,3.18,308.0,277.0
44013,Alcañiz,1998,3921.0,3.27,4039.0,389.0
22017,Alcolea de Cinca,1998,497.0,2.49,512.0,443.0
50015,Alconchel de Ariza,1998,57.0,2.99,59.0,619.0
44014,Alcorisa,1998,1403.0,2.35,1445.0,538.0
22018,Alcubierre,1998,172.0,2.71,177.0,650.0
50016,Aldehuela de Liestos,1998,21.0,2.86,22.0,459.0
22019,Alerre,1998,63.0,2.89,65.0,485.0
50017,Alfajarín,1998,452.0,3.23,466.0,302.0
44016,Alfambra,1998,229.0,2.98,236.0,396.0
50018,Alfamén,1998,470.0,2.78,484.0,750.0
22020,Alfántega,1998,41.0,3.11,42.0,661.0
50019,Alforque,1998,28.0,3.25,29.0,328.0
50020,Alhama de Aragón,1998,517.0,2.33,533.0,625.0
44017,Aliaga,1998,129.0,3.27,133.0,337.0
44021,Allepuz,1998,60.0,2.39,62.0,209.0
44022,Alloza,1998,263.0,3.11,271.0,525.0
44023,Allueva,1998,5.0,2.68,5.0,468.0
50021,Almochuel,1998,18.0,2.4,19.0,679.0
44018,Almohaja,1998,12.0,2.56,12.0,494.0
50022,Almolda (La),1998,241.0,2.95,248.0,653.0
50023,Almonacid de la Cuba,1998,131.0,2.68,135.0,658.0
50024,Almonacid de la Sierra,1998,360.0,2.37,371.0,530.0
22021,Almudévar,1998,818.0,2.9,843.0,419.0
50025,Almunia de Doña Godina (La),1998,1682.0,3.2,1732.0,430.0
22022,Almunia de San Juan,1998,265.0,2.68,273.0,565.0
22023,Almuniente,1998,246.0,2.52,253.0,279.0
44019,Alobras,1998,34.0,2.75,35.0,200.0
50026,Alpartir,1998,265.0,2.35,273.0,397.0
44020,Alpeñés,1998,10.0,3.15,10.0,316.0
22024,Alquézar,1998,97.0,3.12,100.0,473.0
22025,Altorricón,1998,501.0,2.89,516.0,524.0
50027,Ambel,1998,135.0,2.66,139.0,311.0
44024,Anadón,1998,6.0,3.2,6.0,735.0
44025,Andorra,1998,2858.0,2.86,2944.0,654.0
50028,Anento,1998,24.0,3.12,25.0,592.0
22027,Angüés,1998,146.0,2.93,150.0,497.0
50029,Aniñón,1998,292.0,3.09,301.0,564.0
22028,Ansó,1998,180.0,2.92,185.0,672.0
22029,Antillón,1998,59.0,2.74,61.0,348.0
50030,Añón de Moncayo,1998,96.0,3.27,99.0,651.0
22032,Aragüés del Puerto,1998,49.0,2.84,50.0,487.0
50031,Aranda de Moncayo,1998,82.0,2.9,84.0,700.0
50032,Arándiga,1998,207.0,2.53,213.0,655.0
44026,Arcos de las Salinas,1998,55.0,2.94,57.0,713.0
50033,Ardisa,1998,28.0,2.88,29.0,558.0
22035,Arén,1998,159.0,2.5,164.0,229.0
44027,Arens de Lledó,1998,101.0,2.37,104.0,195.0
22036,Argavieso,1998,43.0,2.92,44.0,542.0
44028,Argente,1998,87.0,3.08,90.0,365.0
22037,Arguis,1998,20.0,2.81,21.0,503.0
44029,Ariño,1998,362.0,2.53,373.0,646.0
50034,Ariza,1998,449.0,2.97,462.0,470.0
50035,Artieda,1998,43.0,2.39,44.0,756.0
50036,Asín,1998,37.0,2.74,38.0,304.0
50037,Atea,1998,98.0,2.49,101.0,556.0
50038,Ateca,1998,818.0,2.5,843.0,635.0
22039,Ayerbe,1998,445.0,2.51,458.0,414.0
44031,Azaila,1998,69.0,2.68,71.0,487.0
22040,Azanuy-Alins,1998,85.0,2.38,88.0,509.0
22041,Azara,1998,83.0,2.7,85.0,612.0
22042,Azlor,1998,59.0,2.81,61.0,256.0
50039,Azuara,1998,261.0,2.78,269.0,537.0
44032,Bádenas,1998,9.0,2.83,9.0,604.0
50040,Badules,1998,36.0,3.21,37.0,250.0
22043,Baélls,1998,64.0,2.46,66.0,464.0
44033,Báguena,1998,186.0,2.81,192.0,217.0
50041,Bagüés,1998,13.0,2.52,13.0,645.0
22044,Bailo,1998,135.0,2.38,139.0,732.0
50042,Balconchán,1998,10.0,2.98,10.0,720.0
22045,Baldellou,1998,54.0,2.89,56.0,657.0
22046,Ballobar,1998,341.0,3.18,351.0,439.0
22047,Banastás,1998,62.0,2.86,64.0,487.0
44034,Bañón,1998,55.0,3.28,57.0,473.0
22048,Barbastro,1998,6154.0,2.35,6339.0,489.0
50043,Bárboles,1998,137.0,2.4,141.0,201.0
22049,Barbués,1998,51.0,2.33,53.0,326.0
22050,Barbuñales,1998,44.0,2.5,45.0,694.0
22051,Bárcabo,1998,42.0,2.85,43.0,610.0
50044,Bardallur,1998,105.0,2.94,108.0,580.0
44035,Barrachina,1998,73.0,2.34,75.0,255.0
44036,Bea,1998,15.0,3.1,15.0,410.0
44037,Beceite,1998,208.0,3.15,214.0,409.0
50045,Belchite,1998,623.0,2.61,642.0,730.0
44039,Bello,1998,171.0,2.39,176.0,355.0
50046,Belmonte de Gracián,1998,121.0,2.49,125.0,743.0
44038,Belmonte de San José,1998,66.0,2.42,68.0,290.0
22052,Belver de Cinca,1998,575.0,2.43,592.0,724.0
22053,Benabarre,1998,412.0,2.83,424.0,365.0
22054,Benasque,1998,515.0,2.55,530.0,334.0
22246,Beranuy,1998,44.0,2.63,45.0,196.0
22055,Berbegal,1998,145.0,3.29,149.0,219.0
50047,Berdejo,1998,17.0,2.94,18.0,280.0
44040,Berge,1998,68.0,3.26,70.0,289.0
50048,Berrueco,1998,17.0,2.41,18.0,756.0
44041,Bezas,1998,26.0,2.66,27.0,743.0
50901,Biel,1998,70.0,2.85,72.0,442.0
22057,Bielsa,1998,193.0,2.39,199.0,344.0
22058,Bierge,1998,97.0,2.31,100.0,466.0
22059,Biescas,1998,419.0,2.97,432.0,564.0
50050,Bijuesca,1998,46.0,2.92,47.0,756.0
22060,Binaced,1998,587.0,2.72,605.0,223.0
22061,Binéfar,1998,2909.0,2.79,2996.0,493.0
50051,Biota,1998,464.0,2.72,478.0,212.0
22062,Bisaurri,1998,94.0,2.33,97.0,433.0
22063,Biscarrués,1998,86.0,2.63,89.0,519.0
50052,Bisimbre,1998,54.0,2.52,56.0,361.0
44042,Blancas,1998,81.0,2.42,83.0,532.0
22064,Blecua y Torres,1998,54.0,3.28,56.0,388.0
44043,Blesa,1998,53.0,2.93,55.0,292.0
22066,Boltaña,1998,278.0,3.04,286.0,229.0
22067,Bonansa,1998,28.0,2.61,29.0,353.0
50053,Boquiñeni,1998,373.0,2.7,384.0,573.0
22068,Borau,1998,30.0,2.54,31.0,292.0
50054,Bordalba,1998,40.0,2.44,41.0,431.0
44044,Bordón,1998,58.0,2.5,60.0,695.0
50055,Borja,1998,1290.0,3.1,1329.0,228.0
50056,Botorrita,1998,158.0,2.99,163.0,767.0
50057,Brea de Aragón,1998,709.0,2.85,730.0,403.0
44045,Bronchales,1998,159.0,2.77,164.0,213.0
22069,Broto,1998,158.0,3.23,163.0,644.0
50058,Bubierca,1998,44.0,2.43,45.0,523.0
44046,Bueña,1998,41.0,2.6,42.0,624.0
50059,Bujaraloz,1998,384.0,2.65,396.0,561.0
50060,Bulbuente,1998,82.0,3.09,84.0,455.0
44047,Burbáguena,1998,101.0,3.3,104.0,501.0
50061,Bureta,1998,129.0,2.54,133.0,248.0
50062,Burgo de Ebro (El),1998,469.0,3.18,483.0,475.0
50063,Buste (El),1998,36.0,3.17,37.0,289.0
50064,Cabañas de Ebro,1998,204.0,2.53,210.0,323.0
50065,Cabolafuente,1998,37.0,2.7,38.0,692.0
44048,Cabra de Mora,1998,40.0,2.67,41.0,671.0
50066,Cadrete,1998,417.0,3.28,430.0,464.0
44049,Calaceite,1998,495.0,2.49,510.0,713.0
44050,Calamocha,1998,1295.0,3.1,1334.0,607.0
44051,Calanda,1998,1338.0,2.64,1378.0,308.0
50067,Calatayud,1998,5450.0,3.04,5614.0,269.0
50068,Calatorao,1998,996.0,2.73,1026.0,490.0
50069,Calcena,1998,33.0,2.86,34.0,340.0
22072,Caldearenas,1998,83.0,3.14,85.0,762.0
50070,Calmarza,1998,32.0,3.06,33.0,470.0
44052,Calomarde,1998,27.0,3.18,28.0,210.0
44053,Camañas,1998,60.0,2.37,62.0,639.0
44054,Camarena de la Sierra,1998,58.0,2.97,60.0,391.0
44055,Camarillas,1998,51.0,2.44,53.0,703.0
44056,Caminreal,1998,300.0,2.72,309.0,247.0
50071,Campillo de Aragón,1998,70.0,2.85,72.0,197.0
