municipality_number,municipality_name,year,sex,population
44001,Ababuj,1998,Ambos sexos,86
50001,Abanto,1998,Ambos sexos,189
44002,Abejuela,1998,Ambos sexos,61
22001,Abiego,1998,Ambos sexos,290
22002,Abizanda,1998,Ambos sexos,140
50002,Acered,1998,Ambos sexos,283
22003,Adahuesca,1998,Ambos sexos,158
50003,Agón,1998,Ambos sexos,198
50004,Aguarón,1998,Ambos sexos,716
44003,Aguatón,1998,Ambos sexos,26
44004,Aguaviva,1998,Ambos sexos,622
22004,Agüero,1998,Ambos sexos,157
44005,Aguilar del Alfambra,1998,Ambos sexos,84
50005,Aguilón,1998,Ambos sexos,267
22907,Aínsa-Sobrarbe,1998,Ambos sexos,1557
50006,Ainzón,1998,Ambos sexos,1236
22006,Aisa,1998,Ambos sexos,363
44006,Alacón,1998,Ambos sexos,470
50007,Aladrén,1998,Ambos sexos,59
50008,Alagón,1998,Ambos sexos,5552
50009,Alarba,1998,Ambos sexos,160
44007,Alba,1998,Ambos sexos,286
22007,Albalate de Cinca,1998,Ambos sexos,1090
44008,Albalate del Arzobispo,1998,Ambos sexos,2379
22008,Albalatillo,1998,Ambos sexos,270
44009,Albarracín,1998,Ambos sexos,1041
22009,Albelda,1998,Ambos sexos,962
44010,Albentosa,1998,Ambos sexos,272
50010,Alberite de San Juan,1998,Ambos sexos,105
22011,Albero Alto,1998,Ambos sexos,100
22012,Albero Bajo,1998,Ambos sexos,119
22013,Alberuela de Tubo,1998,Ambos sexos,388
50011,Albeta,1998,Ambos sexos,122
50012,Alborge,1998,Ambos sexos,136
44011,Alcaine,1998,Ambos sexos,56
50013,Alcalá de Ebro,1998,Ambos sexos,299
22014,Alcalá de Gurrea,1998,Ambos sexos,342
44012,Alcalá de la Selva,1998,Ambos sexos,453
50014,Alcalá de Moncayo,1998,Ambos sexos,151
22015,Alcalá del Obispo,1998,Ambos sexos,355
22016,Alcampell,1998,Ambos sexos,950
44013,Alcañiz,1998,Ambos sexos,12823
22017,Alcolea de Cinca,1998,Ambos sexos,1237
50015,Alconchel de Ariza,1998,Ambos sexos,171
44014,Alcorisa,1998,Ambos sexos,3296
22018,Alcubierre,1998,Ambos sexos,467
50016,Aldehuela de Liestos,1998,Ambos sexos,61
22019,Alerre,1998,Ambos sexos,181
50017,Alfajarín,1998,Ambos sexos,1460
44016,Alfambra,1998,Ambos sexos,682
50018,Alfamén,1998,Ambos sexos,1307
22020,Alfántega,1998,Ambos sexos,128
50019,Alforque,1998,Ambos sexos,90
50020,Alhama de Aragón,1998,Ambos sexos,1204
44017,Aliaga,1998,Ambos sexos,422
44021,Allepuz,1998,Ambos sexos,144
44022,Alloza,1998,Ambos sexos,817
44023,Allueva,1998,Ambos sexos,14
50021,Almochuel,1998,Ambos sexos,43
44018,Almohaja,1998,Ambos sexos,31
50022,Almolda (La),1998,Ambos sexos,712
50023,Almonacid de la Cuba,1998,Ambos sexos,350
50024,Almonacid de la Sierra,1998,Ambos sexos,854
22021,Almudévar,1998,Ambos sexos,2373
50025,Almunia de Doña Godina (La),1998,Ambos sexos,5383
22022,Almunia de San Juan,1998,Ambos sexos,709
22023,Almuniente,1998,Ambos sexos,619
44019,Alobras,1998,Ambos sexos,94
50026,Alpartir,1998,Ambos sexos,622
44020,Alpeñés,1998,Ambos sexos,31
22024,Alquézar,1998,Ambos sexos,304
22025,Altorricón,1998,Ambos sexos,1448
50027,Ambel,1998,Ambos sexos,359
44024,Anadón,1998,Ambos sexos,19
44025,Andorra,1998,Ambos sexos,8174
50028,Anento,1998,Ambos sexos,74
22027,Angüés,1998,Ambos sexos,429
50029,Aniñón,1998,Ambos sexos,901
22028,Ansó,1998,Ambos sexos,527
22029,Antillón,1998,Ambos sexos,161
50030,Añón de Moncayo,1998,Ambos sexos,315
22032,Aragüés del Puerto,1998,Ambos sexos,138
50031,Aranda de Moncayo,1998,Ambos sexos,239
50032,Arándiga,1998,Ambos sexos,524
44026,Arcos de las Salinas,1998,Ambos sexos,163
50033,Ardisa,1998,Ambos sexos,82
22035,Arén,1998,Ambos sexos,398
44027,Arens de Lledó,1998,Ambos sexos,240
22036,Argavieso,1998,Ambos sexos,127
44028,Argente,1998,Ambos sexos,269
22037,Arguis,1998,Ambos sexos,57
44029,Ariño,1998,Ambos sexos,916
50034,Ariza,1998,Ambos sexos,1334
50035,Artieda,1998,Ambos sexos,103
50036,Asín,1998,Ambos sexos,101
50037,Atea,1998,Ambos sexos,245
50038,Ateca,1998,Ambos sexos,2044
22039,Ayerbe,1998,Ambos sexos,1116
44031,Azaila,1998,Ambos sexos,184
22040,Azanuy-Alins,1998,Ambos sexos,203
22041,Azara,1998,Ambos sexos,224
22042,Azlor,1998,Ambos sexos,166
50039,Azuara,1998,Ambos sexos,725
44032,Bádenas,1998,Ambos sexos,25
50040,Badules,1998,Ambos sexos,116
22043,Baélls,1998,Ambos sexos,157
44033,Báguena,1998,Ambos sexos,524
50041,Bagüés,1998,Ambos sexos,34
22044,Bailo,1998,Ambos sexos,321
50042,Balconchán,1998,Ambos sexos,30
22045,Baldellou,1998,Ambos sexos,156
22046,Ballobar,1998,Ambos sexos,1084
22047,Banastás,1998,Ambos sexos,177
44034,Bañón,1998,Ambos sexos,180
22048,Barbastro,1998,Ambos sexos,14462
50043,Bárboles,1998,Ambos sexos,329
22049,Barbués,1998,Ambos sexos,119
22050,Barbuñales,1998,Ambos sexos,109
22051,Bárcabo,1998,Ambos sexos,120
50044,Bardallur,1998,Ambos sexos,308
44035,Barrachina,1998,Ambos sexos,170
44036,Bea,1998,Ambos sexos,46
44037,Beceite,1998,Ambos sexos,654
