Lugar de residencia;Number_of_households;Average_household_size;Number_of_dwellings;Average_rent_price
España;20008949;2.35;21409575;632
44001 Ababuj;29;2.66;31;789
50001 Abanto;45;2.75;48;419
44002 Abejuela;21;2.72;22;356
22001 Abiego;109;2.58;117;631
22002 Abizanda;53;2.5;57;982
50002 Acered;69;2.33;74;989
22003 Adahuesca;65;2.56;70;698
50003 Agón;70;2.36;75;844
50004 Aguarón;298;2.9;319;455
44003 Aguatón;8;2.55;9;434
44004 Aguaviva;307;2.26;328;404
22004 Agüero;60;2.75;64;269
44005 Aguilar del Alfambra;24;2.75;26;769
50005 Aguilón;83;3.03;89;638
22907 Aínsa-Sobrarbe;793;2.75;849;326
50006 Ainzón;502;2.53;537;298
22006 Aisa;122;2.96;131;890
44006 Alacón;133;2.71;142;1018
50007 Aladrén;27;2.26;29;778
50008 Alagón;2620;2.74;2803;552
50009 Alarba;50;3.1;54;989
44007 Alba;96;2.57;103;1016
22007 Albalate de Cinca;497;2.49;532;425
44008 Albalate del Arzobispo;921;2.34;985;1016
22008 Albalatillo;103;2.35;110;453
44009 Albarracín;420;2.61;449;439
22009 Albelda;306;2.77;327;1049
44010 Albentosa;135;2.29;144;465
50010 Alberite de San Juan;32;3.11;34;354
22011 Albero Alto;45;2.95;48;754
22012 Albero Bajo;35;2.76;37;456
22013 Alberuela de Tubo;118;3.0;126;973
50011 Albeta;62;2.26;66;297
50012 Alborge;48;2.65;51;909
44011 Alcaine;24;2.85;26;656
50013 Alcalá de Ebro;92;2.99;98;928
22014 Alcalá de Gurrea;95;2.94;102;418
44012 Alcalá de la Selva;208;2.47;223;822
50014 Alcalá de Moncayo;50;3.09;54;374
22015 Alcalá del Obispo;211;2.33;226;590
22016 Alcampell;258;3.03;276;378
44013 Alcañiz;5221;3.12;5586;530
22017 Alcolea de Cinca;491;2.37;525;604
50015 Alconchel de Ariza;35;2.86;37;844
44014 Alcorisa;1619;2.25;1732;734
22018 Alcubierre;168;2.58;180;886
50016 Aldehuela de Liestos;18;2.73;19;626
22019 Alerre;81;2.76;87;662
50017 Alfajarín;702;3.09;751;412
44016 Alfambra;237;2.85;254;540
50018 Alfamén;567;2.66;607;1022
22020 Alfántega;42;2.97;45;902
50019 Alforque;26;3.1;28;448
50020 Alhama de Aragón;526;2.23;563;853
44017 Aliaga;122;3.12;131;460
44021 Allepuz;58;2.28;62;285
44022 Alloza;239;2.97;256;716
44023 Allueva;6;2.56;6;638
50021 Almochuel;11;2.29;12;926
44018 Almohaja;12;2.45;13;674
50022 Almolda (La);220;2.81;235;891
50023 Almonacid de la Cuba;111;2.56;119;898
50024 Almonacid de la Sierra;350;2.26;374;722
22021 Almudévar;922;2.77;987;571
50025 Almunia de Doña Godina (La);2550;3.06;2728;586
22022 Almunia de San Juan;259;2.56;277;770
22023 Almuniente;233;2.4;249;381
