Provincias;Sector económico;Periodo;Total
Total Nacional;Agricultura;2025T3;3,5
Total Nacional;Agricultura;2025T2;3,6
Total Nacional;Agricultura;2025T1;3,6
Total Nacional;Agricultura;2024T4;3,5
Total Nacional;Agricultura;2024T3;3,6
Total Nacional;Agricultura;2024T2;3,7
Total Nacional;Agricultura;2024T1;3,7
Total Nacional;Agricultura;2023T4;3,8
Total Nacional;Agricultura;2023T3;3,6
Total Nacional;Agricultura;2023T2;3,8
Total Nacional;Agricultura;2023T1;3,8
Total Nacional;Agricultura;2022T4;3,9
Total Nacional;Agricultura;2022T3;3,9
Total Nacional;Agricultura;2022T2;4,1
Total Nacional;Agricultura;2022T1;4,3
Total Nacional;Agricultura;2021T4;4,4
Total Nacional;Agricultura;2021T3;4,2
Total Nacional;Agricultura;2021T2;4,3
Total Nacional;Agricultura;2021T1;4,4
Total Nacional;Agricultura;2020T4;4,2
Total Nacional;Agricultura;2020T3;4,1
Total Nacional;Agricultura;2020T2;4,2
Total Nacional;Agricultura;2020T1;4,1
Total Nacional;Agricultura;2019T4;4,2
Total Nacional;Agricultura;2019T3;4,1
Total Nacional;Agricultura;2019T2;4,3
Total Nacional;Agricultura;2019T1;4,4
Total Nacional;Agricultura;2018T4;4,4
Total Nacional;Agricultura;2018T3;4,2
Total Nacional;Agricultura;2018T2;4,4
Total Nacional;Agricultura;2018T1;4,6
Total Nacional;Agricultura;2017T4;4,5
Total Nacional;Agricultura;2017T3;4,4
Total Nacional;Agricultura;2017T2;4,6
Total Nacional;Agricultura;2017T1;4,7
Total Nacional;Agricultura;2016T4;4,5
Total Nacional;Agricultura;2016T3;4,3
Total Nacional;Agricultura;2016T2;4,4
Total Nacional;Agricultura;2016T1;4,5
Total Nacional;Agricultura;2015T4;4,4
Total Nacional;Agricultura;2015T3;4,2
Total Nacional;Agricultura;2015T2;4,3
Total Nacional;Agricultura;2015T1;4,4
Total Nacional;Agricultura;2014T4;4,3
Total Nacional;Agricultura;2014T3;4,2
Total Nacional;Agricultura;2014T2;4,4
Total Nacional;Agricultura;2014T1;4,6
Total Nacional;Agricultura;2013T4;4,4
Total Nacional;Agricultura;2013T3;4,2
Total Nacional;Agricultura;2013T2;4,4
Total Nacional;Agricultura;2013T1;4,3
Total Nacional;Agricultura;2012T4;4,5
Total Nacional;Agricultura;2012T3;4,3
Total Nacional;Agricultura;2012T2;4,3
Total Nacional;Agricultura;2012T1;4,4
Total Nacional;Agricultura;2011T4;4,3
Total Nacional;Agricultura;2011T3;4,1
Total Nacional;Agricultura;2011T2;4,2
Total Nacional;Agricultura;2011T1;4,3
Total Nacional;Agricultura;2010T4;4,3
Total Nacional;Agricultura;2010T3;4,2
Total Nacional;Agricultura;2010T2;4,3
Total Nacional;Agricultura;2010T1;4,4
Total Nacional;Agricultura;2009T4;4,2
Total Nacional;Agricultura;2009T3;4,1
Total Nacional;Agricultura;2009T2;4,2
Total Nacional;Agricultura;2009T1;4,3
Total Nacional;Agricultura;2008T4;4,1
Total Nacional;Agricultura;2008T3;4,1
Total Nacional;Agricultura;2008T2;4,1
Total Nacional;Agricultura;2008T1;4,3
Total Nacional;Industria;2025T3;12,8
Total Nacional;Industria;2025T2;12,7
Total Nacional;Industria;2025T1;12,4
Total Nacional;Industria;2024T4;12,4
Total Nacional;Industria;2024T3;12,4
Total Nacional;Industria;2024T2;12,4
Total Nacional;Industria;2024T1;12,3
Total Nacional;Industria;2023T4;12,3
Total Nacional;Industria;2023T3;12,3
Total Nacional;Industria;2023T2;12
Total Nacional;Industria;2023T1;12,5
Total Nacional;Industria;2022T4;12,5
Total Nacional;Industria;2022T3;12,5
Total Nacional;Industria;2022T2;12,4
Total Nacional;Industria;2022T1;12,2
Total Nacional;Industria;2021T4;12,5
Total Nacional;Industria;2021T3;12,2
Total Nacional;Industria;2021T2;12,1
Total Nacional;Industria;2021T1;12,4
Total Nacional;Industria;2020T4;12,5
Total Nacional;Industria;2020T3;12,6
Total Nacional;Industria;2020T2;13,1
Total Nacional;Industria;2020T1;12,8
Total Nacional;Industria;2019T4;12,6
Total Nacional;Industria;2019T3;12,8
Total Nacional;Industria;2019T2;12,7
Total Nacional;Industria;2019T1;12,7
Total Nacional;Industria;2018T4;12,6
Total Nacional;Industria;2018T3;12,6
Total Nacional;Industria;2018T2;12,6
Total Nacional;Industria;2018T1;12,6
Total Nacional;Industria;2017T4;12,7
Total Nacional;Industria;2017T3;12,4
Total Nacional;Industria;2017T2;12,4
Total Nacional;Industria;2017T1;12,1
Total Nacional;Industria;2016T4;12,1
Total Nacional;Industria;2016T3;11,8
Total Nacional;Industria;2016T2;11,7
Total Nacional;Industria;2016T1;11,7
Total Nacional;Industria;2015T4;11,5
Total Nacional;Industria;2015T3;11,7
Total Nacional;Industria;2015T2;11,7
Total Nacional;Industria;2015T1;11,6
Total Nacional;Industria;2014T4;11,5
Total Nacional;Industria;2014T3;11,4
Total Nacional;Industria;2014T2;11,2
Total Nacional;Industria;2014T1;11,2
Total Nacional;Industria;2013T4;11,2
Total Nacional;Industria;2013T3;11,2
Total Nacional;Industria;2013T2;11,4
Total Nacional;Industria;2013T1;11,6
Total Nacional;Industria;2012T4;11,8
Total Nacional;Industria;2012T3;12
Total Nacional;Industria;2012T2;12
Total Nacional;Industria;2012T1;12
Total Nacional;Industria;2011T4;12,1
Total Nacional;Industria;2011T3;12,1
